Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA01;Andalucía;PR04;Almería;0;Pública;445
CA01;Andalucía;PR11;Cádiz;0;Pública;361
CA01;Andalucía;PR14;Córdoba;0;Pública;282
CA01;Andalucía;PR18;Granada;0;Pública;541
CA01;Andalucía;PR21;Huelva;0;Pública;429
CA01;Andalucía;PR23;Jaén;0;Pública;299
CA01;Andalucía;PR29;Málaga;0;Pública;534
CA01;Andalucía;PR41;Sevilla;0;Pública;784
CA02;Aragón;PR22;Huesca;0;Pública;213
CA02;Aragón;PR44;Teruel;0;Pública;79
CA02;Aragón;PR50;Zaragoza;0;Pública;417
CA03;Asturias, Principado de;PR33;Asturias;0;Pública;554
CA04;Balears, Illes;PR07;Baleares;0;Pública;553
CA05;Canarias;PR35;Las Palmas;0;Pública;185
CA05;Canarias;PR38;Santa Cruz de Tenerife;0;Pública;301
CA06;Cantabria;PR39;Cantabria;0;Pública;56
CA07;Castilla y León;PR05;Ávila;0;Pública;54
CA07;Castilla y León;PR09;Burgos;0;Pública;107
CA07;Castilla y León;PR24;León;0;Pública;106
CA07;Castilla y León;PR34;Palencia;0;Pública;82
CA07;Castilla y León;PR37;Salamanca;0;Pública;112
CA07;Castilla y León;PR40;Segovia;0;Pública;41
CA07;Castilla y León;PR42;Soria;0;Pública;66
CA07;Castilla y León;PR47;Valladolid;0;Pública;187
CA07;Castilla y León;PR49;Zamora;0;Pública;39
CA08;Castilla-La Mancha;PR02;Albacete;0;Pública;133
CA08;Castilla-La Mancha;PR13;Ciudad Real;0;Pública;253
CA08;Castilla-La Mancha;PR16;Cuenca;0;Pública;77
CA08;Castilla-La Mancha;PR19;Guadalajara;0;Pública;152
CA08;Castilla-La Mancha;PR45;Toledo;0;Pública;338
CA09;Cataluña;PR08;Barcelona;0;Pública;2.785
CA09;Cataluña;PR17;Girona;0;Pública;584
CA09;Cataluña;PR25;Lleida;0;Pública;300
CA09;Cataluña;PR43;Tarragona;0;Pública;400
CA10;Comunitat Valenciana;PR03;Alicante;0;Pública;277
