Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA01,Andalucía,PR04,Almería,España,Pública,Mujeres,58.124,2.252,10.144,21.262,289,14.309,4.406,623,222,1.532,1.836,125,1.103,21
CA01,Andalucía,PR11,Cádiz,España,Pública,Mujeres,84.991,2.130,13.107,29.950,255,22.873,8.254,936,451,3.113,3.505,0,389,28
CA01,Andalucía,PR14,Córdoba,España,Pública,Mujeres,48.133,1.620,7.250,17.025,175,12.449,4.860,457,369,1.710,1.921,73,209,15
CA01,Andalucía,PR18,Granada,España,Pública,Mujeres,57.241,2.569,9.031,19.858,171,14.706,5.513,486,347,1.837,2.573,0,147,3
CA01,Andalucía,PR21,Huelva,España,Pública,Mujeres,39.534,1.951,6.073,14.076,111,10.021,3.267,363,159,1.577,1.610,313,11,2
CA01,Andalucía,PR23,Jaén,España,Pública,Mujeres,39.289,1.569,5.802,13.439,126,10.270,4.287,349,227,1.562,1.474,9,169,6
CA01,Andalucía,PR29,Málaga,España,Pública,Mujeres,106.268,2.694,17.309,39.689,277,28.133,10.148,636,555,2.967,3.741,5,66,48
CA01,Andalucía,PR41,Sevilla,España,Pública,Mujeres,136.943,4.274,21.363,50.370,436,35.609,12.261,1.423,472,4.032,5.204,57,1.414,28
CA02,Aragón,PR22,Huesca,España,Pública,Mujeres,13.444,791,2.188,4.792,32,3.125,1.244,41,90,448,453,121,95,24
CA02,Aragón,PR44,Teruel,España,Pública,Mujeres,8.804,397,1.381,3.088,31,2.009,785,11,91,544,317,122,17,11
CA02,Aragón,PR50,Zaragoza,España,Pública,Mujeres,50.980,2.092,8.436,18.269,153,11.814,4.549,294,314,1.568,1.935,463,1.016,77
CA03,Principado de Asturias,PR33,Asturias,España,Pública,Mujeres,46.726,1.777,6.700,16.257,120,10.818,4.572,252,207,1.688,2.592,887,855,1
CA04,Illes Balears,PR07,Baleares,España,Pública,Mujeres,59.114,2.651,9.571,20.936,92,14.156,4.941,584,436,2.568,2.041,455,670,13
CA05,Canarias,PR35,Las Palmas,España,Pública,Mujeres,69.526,1.173,9.525,22.483,339,18.580,7.468,774,562,2.492,3.202,908,1.929,91
CA05,Canarias,PR38,Santa Cruz de Tenerife,España,Pública,Mujeres,58.992,1.205,8.049,18.792,200,14.280,6.471,1.026,374,2.225,3.111,1.339,1.865,55
CA06,Cantabria,PR39,Cantabria,España,Pública,Mujeres,32.163,1.422,4.603,10.672,65,7.667,3.434,250,141,1.238,1.342,522,797,10
CA07,Castilla y León,PR05,Ávila,España,Pública,Mujeres,8.493,251,1.268,3.072,26,2.113,808,49,112,406,269,17,102,0
CA07,Castilla y León,PR09,Burgos,España,Pública,Mujeres,16.197,434,2.494,6.088,41,3.724,1.822,72,110,489,783,71,69,0
CA07,Castilla y León,PR24,León,España,Pública,Mujeres,19.548,486,2.726,6.591,60,4.548,2.410,131,196,1.083,993,148,176,0
CA07,Castilla y León,PR34,Palencia,España,Pública,Mujeres,7.220,319,1.118,2.390,25,1.609,740,33,43,250,351,120,222,0
CA07,Castilla y León,PR37,Salamanca,España,Pública,Mujeres,14.393,566,1.974,4.595,25,3.382,1.717,169,106,672,990,73,124,0
CA07,Castilla y León,PR40,Segovia,España,Pública,Mujeres,9.556,173,1.512,3.437,22,2.323,964,72,71,500,340,129,13,0
CA07,Castilla y León,PR42,Soria,España,Pública,Mujeres,5.359,305,808,1.798,22,1.237,612,20,34,228,237,40,18,0
CA07,Castilla y León,PR47,Valladolid,España,Pública,Mujeres,24.416,1.040,3.743,8.851,46,5.576,2.600,282,123,678,981,88,408,0
CA07,Castilla y León,PR49,Zamora,España,Pública,Mujeres,7.110,209,955,2.240,29,1.739,965,26,76,337,399,37,98,0
CA08,Castilla-La Mancha,PR02,Albacete,España,Pública,Mujeres,27.171,1.141,3.918,8.852,50,6.628,2.855,94,268,1.311,1.244,103,688,19
CA08,Castilla-La Mancha,PR13,Ciudad Real,España,Pública,Mujeres,32.948,1.323,4.905,11.656,107,8.028,3.362,92,315,1.381,1.357,178,230,14
CA08,Castilla-La Mancha,PR16,Cuenca,España,Pública,Mujeres,13.250,454,2.078,4.498,22,3.331,1.343,26,113,510,435,203,230,7
CA08,Castilla-La Mancha,PR19,Guadalajara,España,Pública,Mujeres,19.110,624,3.006,7.056,41,4.533,1.619,142,177,604,707,167,430,4
CA08,Castilla-La Mancha,PR45,Toledo,España,Pública,Mujeres,49.923,2.026,8.099,18.218,120,12.115,4.478,128,447,1.717,1.666,417,482,10
CA09,Cataluña,PR08,Barcelona,España,Pública,Mujeres,300.779,16.430,48.297,107.388,663,70.130,24.664,114,0,12.916,13.443,1.440,4.216,1.078
CA09,Cataluña,PR17,Girona,España,Pública,Mujeres,53.869,3.072,8.784,19.898,178,13.016,4.287,0,0,2.569,1.905,0,0,160
CA09,Cataluña,PR25,Lleida,España,Pública,Mujeres,28.456,1.726,4.582,10.319,36,6.477,2.221,0,0,1.605,1.392,0,0,98
CA09,Cataluña,PR43,Tarragona,España,Pública,Mujeres,55.284,2.586,8.639,19.736,73,13.627,4.527,0,0,3.194,2.714,0,0,188
CA10,Comunitat Valenciana,PR03,Alicante,España,Pública,Mujeres,114.487,3.216,18.109,41.259,500,28.799,10.583,0,1.404,4.874,5.673,0,0,70
CA10,Comunitat Valenciana,PR12,Castellón,España,Pública,Mujeres,37.546,1.095,6.086,13.802,169,9.366,3.251,0,430,1.675,1.635,0,0,37
CA10,Comunitat Valenciana,PR46,Valencia,España,Pública,Mujeres,132.210,5.433,19.609,46.191,587,31.816,11.365,337,1.367,6.237,8.796,0,419,53
CA11,Extremadura,PR06,Badajoz,España,Pública,Mujeres,44.595,2.084,6.954,15.930,73,10.694,4.684,102,363,1.781,1.632,34,237,27
CA11,Extremadura,PR10,Cáceres,España,Pública,Mujeres,23.492,1.254,3.294,7.416,40,5.466,2.569,95,272,1.122,1.255,166,530,13
CA12,Galicia,PR15,A Coruña,España,Pública,Mujeres,61.348,3.461,8.932,20.003,68,13.673,6.128,934,434,2.429,3.953,608,660,65
CA12,Galicia,PR27,Lugo,España,Pública,Mujeres,15.763,802,2.338,4.989,23,3.424,1.603,183,131,780,889,350,240,11
CA12,Galicia,PR32,Ourense,España,Pública,Mujeres,12.638,523,1.772,4.062,25,2.811,1.373,111,133,634,733,164,296,1
CA12,Galicia,PR36,Pontevedra,España,Pública,Mujeres,51.008,2.374,7.072,16.903,41,12.144,5.763,315,455,2.101,2.795,366,651,28
CA13,Comunidad de Madrid,PR28,Madrid,España,Pública,Mujeres,321.144,20.731,51.784,113.137,1.153,73.012,32.247,2.031,2.434,8.876,12.912,870,1.665,292
CA14,Región de Murcia,PR30,Murcia,España,Pública,Mujeres,97.863,2.160,15.357,35.306,378,24.105,10.698,757,1.190,2.983,4.023,289,536,81
CA15,Comunidad Foral de Navarra,PR31,Navarra,España,Pública,Mujeres,36.856,2.086,5.973,13.617,172,8.241,3.363,121,211,1.205,1.260,71,474,62
CA16,País Vasco,PR01,Álava,España,Pública,Mujeres,16.326,1.378,2.754,6.153,62,3.205,1.116,243,72,615,728,0,0,0
CA16,País Vasco,PR20,Gipuzkoa,España,Pública,Mujeres,31.256,2.374,4.704,10.762,79,7.018,3.052,0,67,1.015,1.656,246,283,0
CA16,País Vasco,PR48,Bizkaia,España,Pública,Mujeres,42.516,3.142,6.924,15.509,136,9.234,4.162,0,280,1.242,1.887,0,0,0
CA17,La Rioja,PR26,La Rioja,España,Pública,Mujeres,17.694,796,2.703,6.190,46,3.903,1.609,94,190,728,797,97,530,11
CA18,Ceuta,PR51,Ceuta,España,Pública,Mujeres,7.977,134,1.173,2.755,50,1.783,643,74,149,512,437,97,165,5
CA19,Melilla,PR52,Melilla,España,Pública,Mujeres,8.741,269,1.448,2.997,41,2.073,765,69,165,328,415,0,167,4
CA01,Andalucía,PR04,Almería,España,Pública,Hombres,59.124,2.377,10.647,22.765,627,15.089,3.334,795,699,2.178,1.786,77,1.098,29
CA01,Andalucía,PR11,Cádiz,España,Pública,Hombres,89.241,2.456,13.868,32.437,463,24.595,7.135,1.207,1.157,4.444,3.784,0,108,43
CA01,Andalucía,PR14,Córdoba,España,Pública,Hombres,50.337,1.685,7.689,18.401,312,13.160,4.166,573,946,2.430,2.247,32,361,20
CA01,Andalucía,PR18,Granada,España,Pública,Hombres,59.098,2.777,9.725,21.436,354,15.315,4.796,632,884,2.788,2.964,0,186,18
